doctype;parser;file;max mem dif;parser s;real s;user s;sys s;maximum RSS
html;ahd_css;test_google.html;141416;0.55226492881775;0.65;0.55;0.02;51124
html;ahd_css;test_habrahabr_largearticle.html;9;9;313.77;9.81;0.83;911432
html;ahd_css;test_wikipedia.html;4442952;6.4794211387634;6.91;6.61;0.24;613312
html;ahd_css;test_wordpress.html;134568;0.15916705131531;0.18;0.15;0.02;28964
html;ahd_xpath;test_google.html;142048;0.54871678352356;0.58;0.56;0.00;51140
html;ahd_xpath;test_habrahabr_largearticle.html;9;9;312.71;9.04;0.55;921056
html;ahd_xpath;test_wikipedia.html;4442696;6.6590931415558;7.08;6.76;0.26;613060
html;ahd_xpath;test_wordpress.html;134072;0.16422080993652;0.19;0.15;0.02;28992
html;didom_css;test_google.html;1010344;0.47295689582825;0.50;0.46;0.01;11868
html;didom_css;test_habrahabr_largearticle.html;5924120;5.9678540229797;6.00;5.94;0.03;45992
html;didom_css;test_wikipedia.html;5813880;3.5110630989075;3.52;3.49;0.01;29788
html;didom_css;test_wordpress.html;483376;0.099702119827271;0.11;0.10;0.00;10084
html;didom_xpath;test_google.html;1010216;0.45680689811707;0.47;0.46;0.00;11412
html;didom_xpath;test_habrahabr_largearticle.html;5923712;5.9849638938904;6.01;5.96;0.02;46112
html;didom_xpath;test_wikipedia.html;5810520;3.3372619152069;3.35;3.33;0.01;29668
html;didom_xpath;test_wordpress.html;482808;0.098685026168823;0.11;0.10;0.00;9936
html;dom;test_google.html;417368;0.48411703109741;0.49;0.48;0.00;10324
html;dom;test_habrahabr_largearticle.html;2811384;77.865676879883;77.88;77.70;0.02;40476
html;dom;test_wikipedia.html;2814120;53.539803028107;53.55;53.26;0.22;23712
html;dom;test_wordpress.html;138104;0.12657117843628;0.13;0.10;0.00;8784
html;dom_xpath;test_google.html;439872;0.47533202171326;0.48;0.46;0.00;10320
html;dom_xpath;test_habrahabr_largearticle.html;3497600;5.536789894104;5.55;5.51;0.01;41008
html;dom_xpath;test_wikipedia.html;4406176;2.7340798377991;2.74;2.66;0.07;25628
html;dom_xpath;test_wordpress.html;160416;0.11330699920654;0.12;0.09;0.00;8856
html;expat_struct;test_google.html;563264;1.1503949165344;1.16;0.80;0.10;9572
html;expat_struct;test_habrahabr_largearticle.html;2573536;11.281091928482;11.29;9.61;0.65;17748
html;expat_struct;test_wikipedia.html;37403816;8.9199960231781;8.93;7.86;0.84;48868
html;expat_struct;test_wordpress.html;1115496;0.43168711662292;0.44;0.29;0.04;9408
html;fdom_css;test_google.html;1586472;0.47775101661682;0.51;0.47;0.02;52508
