doctype;parser;file;max mem dif;parser s;real s;user s;sys s;maximum RSS
html;ahd_css;test_google.html;196792;1.1232869625092;1.20;1.10;0.03;92576
html;ahd_css;test_habrahabr_largearticle.html;9;9;21.47;11.70;1.24;920968
html;ahd_css;test_wikipedia.html;4500392;13.702660083771;131.17;15.20;1.06;911664
html;ahd_css;test_wordpress.html;184496;0.29841899871826;0.37;0.32;0.02;49112
html;ahd_xpath;test_google.html;197424;1.0939919948578;1.14;1.08;0.05;92600
html;ahd_xpath;test_habrahabr_largearticle.html;9;9;17.80;11.56;0.80;919120
html;ahd_xpath;test_wikipedia.html;4499456;14.085442066193;132.44;15.70;0.98;914620
html;ahd_xpath;test_wordpress.html;194520;0.304358959198;0.39;0.34;0.00;49140
html;didom_css;test_google.html;1010672;0.93428111076355;1.00;0.90;0.03;11864
html;didom_css;test_habrahabr_largearticle.html;5924488;12.004630804062;12.04;11.96;0.03;46256
html;didom_css;test_wikipedia.html;5798376;6.9178168773651;6.94;6.79;0.12;29536
html;didom_css;test_wordpress.html;482912;0.1989221572876;0.21;0.20;0.00;10084
html;didom_xpath;test_google.html;1010016;0.89579296112061;0.91;0.90;0.00;11416
html;didom_xpath;test_habrahabr_largearticle.html;5922984;11.668959856033;11.68;11.62;0.03;44844
html;didom_xpath;test_wikipedia.html;5798920;6.8308238983154;6.85;6.78;0.04;29376
html;didom_xpath;test_wordpress.html;482176;0.20226621627808;0.21;0.20;0.00;9940
html;dom;test_google.html;418032;0.98625111579895;0.99;0.96;0.01;10328
html;dom;test_habrahabr_largearticle.html;2811200;156.72367310524;156.74;156.45;0.02;40464
html;dom;test_wikipedia.html;2813888;106.95461797714;106.96;106.07;0.55;23708
html;dom;test_wordpress.html;138136;0.24814510345459;0.25;0.22;0.00;8772
html;dom_xpath;test_google.html;439976;0.94870495796204;0.96;0.91;0.00;10324
html;dom_xpath;test_habrahabr_largearticle.html;3497536;11.174093961716;11.19;11.12;0.03;40992
html;dom_xpath;test_wikipedia.html;4406152;5.3505439758301;5.36;5.25;0.09;25628
html;dom_xpath;test_wordpress.html;160208;0.21934008598328;0.23;0.18;0.00;8860
html;expat_struct;test_google.html;563384;2.3013520240784;2.31;1.58;0.18;9564
html;expat_struct;test_habrahabr_largearticle.html;2573296;22.785526037216;22.79;19.39;1.17;17720
html;expat_struct;test_wikipedia.html;37403696;17.797519922256;17.81;15.72;1.61;49360
html;expat_struct;test_wordpress.html;1221696;0.85926580429077;0.87;0.55;0.11;9584
html;fdom_css;test_google.html;2201968;0.99315190315247;1.04;1.01;0.02;94492
html;fdom_css;test_habrahabr_largearticle.html;9;9;15.95;6.96;0.96;915464
html;fdom_css;test_wikipedia.html;5617360;8.0757009983063;121.64;7.47;1.11;912728
html;fdom_css;test_wordpress.html;1666440;0.20075297355652;0.30;0.20;0.04;51068
html;fdom_xpath;test_google.html;1096152;0.93594598770142;0.99;0.94;0.03;93228
html;fdom_xpath;test_habrahabr_largearticle.html;9;9;18.79;6.90;1.18;919228
html;fdom_xpath;test_wikipedia.html;4695528;7.9579238891602;127.32;7.66;1.12;913216
html;fdom_xpath;test_wordpress.html;564000;0.19211196899414;0.30;0.21;0.02;49728
