doctype;parser;file;max mem dif;parser s;real s;user s;sys s;maximum RSS
xml;didom_css;test_ozon_balls.xml;328768;0.056601047515869;0.08;0.08;0.00;23944
xml;didom_css;test_ozon_childbooks.xml;242859856;66.973224163055;67.83;63.44;4.44;1920188
xml;didom_css;test_ozon_complit.xml;29871136;8.4979209899902;8.64;8.50;0.14;269660
xml;didom_css;test_ozon_web.xml;2213616;0.58657097816467;0.62;0.60;0.01;37708
xml;didom_xpath;test_ozon_balls.xml;328416;0.057930946350098;0.08;0.08;0.00;23368
xml;didom_xpath;test_ozon_childbooks.xml;242859504;65.702985048294;66.54;64.95;1.63;1920096
xml;didom_xpath;test_ozon_complit.xml;29870784;8.4759659767151;8.62;8.52;0.10;269728
xml;didom_xpath;test_ozon_web.xml;2213264;0.56181001663208;0.59;0.56;0.02;37180
xml;dom;test_ozon_balls.xml;47200;0.026793003082275;0.05;0.03;0.01;23356
xml;dom;test_ozon_childbooks.xml;0;0;300.77;300.52;0.48;1256684
xml;dom;test_ozon_complit.xml;5683104;280.13999509811;280.18;279.95;0.44;202568
xml;dom;test_ozon_web.xml;400048;1.1425359249115;1.17;1.15;0.02;32628
xml;dom_xpath;test_ozon_balls.xml;61760;0.027787923812866;0.04;0.02;0.02;23120
xml;dom_xpath;test_ozon_childbooks.xml;54924120;20.42090511322;20.53;17.90;2.64;1407388
xml;dom_xpath;test_ozon_complit.xml;7223640;2.6611151695251;2.69;2.35;0.34;202924
xml;dom_xpath;test_ozon_web.xml;499424;0.19033098220825;0.21;0.21;0.00;32480
xml;expat_stream;test_ozon_balls.xml;22704;0.042691946029663;0.06;0.06;0.00;19904
xml;expat_stream;test_ozon_childbooks.xml;38116888;43.898503065109;43.93;43.63;0.32;56680
xml;expat_stream;test_ozon_complit.xml;5016496;5.1127231121063;5.13;5.08;0.04;24344
xml;expat_stream;test_ozon_web.xml;334720;0.35019898414612;0.37;0.36;0.01;19900
xml;expat_struct;test_ozon_balls.xml;1955768;0.025105953216553;0.05;0.04;0.01;24224
xml;expat_struct;test_ozon_childbooks.xml;1932300624;28.507265090942;28.60;24.79;3.80;2218244
xml;expat_struct;test_ozon_complit.xml;245247248;3.1737060546875;3.21;3.12;0.09;310528
xml;expat_struct;test_ozon_web.xml;17158376;0.23538899421692;0.25;0.24;0.01;42380
xml;fdom_css;test_ozon_balls.xml;294472;0.032144069671631;0.06;0.04;0.01;28468
xml;fdom_css;test_ozon_childbooks.xml;47849800;31.809566020966;32.88;30.79;2.08;2865820
xml;fdom_css;test_ozon_complit.xml;6473032;3.855819940567;4.02;3.86;0.16;390600
xml;fdom_css;test_ozon_web.xml;670888;0.28187894821167;0.35;0.34;0.00;79116
xml;fdom_xpath;test_ozon_balls.xml;246728;0.03023099899292;0.06;0.06;0.00;28124
