doctype;parser;file;max mem dif;parser s;real s;user s;sys s;maximum RSS
xml;ahd_css;test_ozon_balls.xml;639504;1.1740660667419;1.36;0.53;0.76;142560
xml;ahd_css;test_ozon_childbooks.xml;0;0;301.13;291.16;10.02;1696704
xml;ahd_css;test_ozon_complit.xml;0;0;300.33;300.15;0.32;466704
xml;ahd_css;test_ozon_web.xml;5526488;13.596426010132;14.51;13.66;0.84;1125136
xml;ahd_xpath;test_ozon_balls.xml;640080;1.0996870994568;1.24;1.17;0.06;142600
xml;ahd_xpath;test_ozon_childbooks.xml;0;0;301.09;299.82;1.32;1696956
xml;ahd_xpath;test_ozon_complit.xml;0;0;300.28;300.04;0.46;466772
xml;ahd_xpath;test_ozon_web.xml;5527320;13.532516002655;14.49;13.67;0.82;1124896
xml;didom_css;test_ozon_balls.xml;581776;1.2213590145111;1.28;1.23;0.03;24412
xml;didom_css;test_ozon_childbooks.xml;9;9;312.66;289.35;10.95;2066264
xml;didom_css;test_ozon_complit.xml;59276560;168.65705990791;168.71;166.12;2.71;291500
xml;didom_css;test_ozon_web.xml;4282336;11.427372932434;11.46;11.44;0.02;41136
xml;didom_xpath;test_ozon_balls.xml;580920;1.097913980484;1.13;1.12;0.00;24296
xml;didom_xpath;test_ozon_childbooks.xml;0;0;300.37;290.18;10.42;2066392
xml;didom_xpath;test_ozon_complit.xml;59275488;165.29063296318;165.35;162.48;2.90;291156
xml;didom_xpath;test_ozon_web.xml;4281160;11.210666179657;11.25;11.22;0.03;41024
xml;dom;test_ozon_balls.xml;231656;0.50386500358582;0.53;0.42;0.10;22768
xml;dom;test_ozon_childbooks.xml;0;0;300.82;300.08;0.96;1257468
xml;dom;test_ozon_complit.xml;0;0;300.13;300.00;0.19;200420
xml;dom;test_ozon_web.xml;1982680;21.962393045425;21.99;21.90;0.10;33976
xml;dom_xpath;test_ozon_balls.xml;249784;0.45816898345947;0.48;0.42;0.06;22528
xml;dom_xpath;test_ozon_childbooks.xml;0;0;300.08;291.62;8.69;1431436
xml;dom_xpath;test_ozon_complit.xml;25508736;45.258129835129;45.31;45.10;0.24;207560
xml;dom_xpath;test_ozon_web.xml;1982640;3.3184230327606;3.34;3.26;0.08;34304
xml;expat_stream;test_ozon_balls.xml;58680;1.202803850174;1.22;1.20;0.02;21352
