doctype;parser;file;max mem dif;parser s;real s;user s;sys s;maximum RSS
html;ahd_css;test_google.html;91360;0.057049989700317;0.08;0.06;0.02;26680
html;ahd_css;test_habrahabr_largearticle.html;3366856;1.0678980350494;1.20;0.83;0.37;145232
html;ahd_css;test_wikipedia.html;4390480;0.75122213363647;0.82;0.78;0.04;87100
html;ahd_css;test_wordpress.html;79768;0.018124103546143;0.04;0.03;0.00;23964
html;ahd_xpath;test_google.html;92272;0.056389093399048;0.07;0.07;0.00;26772
html;ahd_xpath;test_habrahabr_largearticle.html;3367456;0.98200607299805;1.12;1.04;0.08;145224
html;ahd_xpath;test_wikipedia.html;4390936;0.76084399223328;0.83;0.80;0.03;87164
html;ahd_xpath;test_wordpress.html;80328;0.018015146255493;0.04;0.02;0.01;23808
html;didom_css;test_google.html;1011152;0.049146890640259;0.07;0.05;0.01;24900
html;didom_css;test_habrahabr_largearticle.html;5924872;0.64377498626709;0.67;0.64;0.02;57036
html;didom_css;test_wikipedia.html;5784136;0.37559390068054;0.40;0.38;0.01;41208
html;didom_css;test_wordpress.html;484048;0.012845993041992;0.03;0.02;0.01;23076
html;didom_xpath;test_google.html;1010304;0.048840999603271;0.07;0.06;0.00;24248
html;didom_xpath;test_habrahabr_largearticle.html;5923824;0.63949108123779;0.66;0.64;0.02;56388
html;didom_xpath;test_wikipedia.html;5781472;0.36671590805054;0.39;0.37;0.02;40940
html;didom_xpath;test_wordpress.html;482936;0.013473033905029;0.03;0.02;0.00;23120
html;dom;test_google.html;416016;0.049906969070435;0.06;0.05;0.01;23128
html;dom;test_habrahabr_largearticle.html;2811048;11.412576913834;11.44;11.44;0.01;53116
html;dom;test_wikipedia.html;2813584;6.1625680923462;6.18;6.14;0.04;36564
html;dom;test_wordpress.html;137448;0.013912200927734;0.03;0.02;0.01;21812
html;dom_xpath;test_google.html;438344;0.048110961914062;0.06;0.04;0.02;23316
html;dom_xpath;test_habrahabr_largearticle.html;3496368;0.59014987945557;0.62;0.58;0.04;53388
html;dom_xpath;test_wikipedia.html;4405408;0.31009697914124;0.33;0.32;0.00;38572
html;dom_xpath;test_wordpress.html;159600;0.012244939804077;0.03;0.02;0.00;21808
html;expat_struct;test_google.html;562384;0.12442493438721;0.14;0.11;0.02;22852
html;expat_struct;test_habrahabr_largearticle.html;2572376;1.0871069431305;1.10;0.98;0.09;30944
html;expat_struct;test_wikipedia.html;37403160;0.83406805992126;0.85;0.74;0.08;61652
