doctype;parser;file;max mem dif;parser s;real s;user s;sys s;maximum RSS
xml;ahd_css;test_ozon_balls.xml;639504;0.68816995620728;0.81;0.72;0.03;129744
xml;ahd_css;test_ozon_childbooks.xml;9;9;21.56;1.93;1.29;904188
xml;ahd_css;test_ozon_complit.xml;0;0;300.61;299.49;0.29;453828
xml;ahd_css;test_ozon_web.xml;5526936;9.85431599617;97.50;10.66;1.79;905692
xml;ahd_xpath;test_ozon_balls.xml;639432;0.65299606323242;0.80;0.70;0.04;129772
xml;ahd_xpath;test_ozon_childbooks.xml;9;9;13.75;2.12;0.92;916796
xml;ahd_xpath;test_ozon_complit.xml;0;0;300.56;299.41;0.36;453748
xml;ahd_xpath;test_ozon_web.xml;5526936;9.9122400283813;99.93;10.90;1.56;913536
xml;didom_css;test_ozon_balls.xml;578656;0.77392601966858;0.86;0.76;0.01;11388
xml;didom_css;test_ozon_childbooks.xml;9;9;17.10;5.53;0.92;916440
xml;didom_css;test_ozon_complit.xml;59273456;119.84584093094;120.15;117.37;2.25;278520
xml;didom_css;test_ozon_web.xml;4279176;7.7906610965729;7.81;7.77;0.01;28196
xml;didom_xpath;test_ozon_balls.xml;577776;0.76130199432373;0.77;0.77;0.00;11140
xml;didom_xpath;test_ozon_childbooks.xml;9;9;15.85;5.34;1.05;915488
xml;didom_xpath;test_ozon_complit.xml;59272392;120.00826096535;120.22;117.43;2.14;278380
xml;didom_xpath;test_ozon_web.xml;4278000;7.7688639163971;7.79;7.74;0.01;28192
xml;dom;test_ozon_balls.xml;232424;0.41612195968628;0.43;0.37;0.00;9676
xml;dom;test_ozon_childbooks.xml;9;9;312.98;299.16;1.09;909600
xml;dom;test_ozon_complit.xml;0;0;300.50;299.55;0.10;187284
xml;dom;test_ozon_web.xml;1983200;13.293579101562;13.31;13.25;0.02;21008
xml;dom_xpath;test_ozon_balls.xml;250512;0.318843126297;0.33;0.26;0.01;9780
xml;dom_xpath;test_ozon_childbooks.xml;9;9;312.49;5.18;3.20;908756
xml;dom_xpath;test_ozon_complit.xml;25509376;37.177044868469;37.36;37.03;0.09;194532
xml;dom_xpath;test_ozon_web.xml;1983280;2.3272008895874;2.35;2.31;0.01;21272
xml;expat_stream;test_ozon_balls.xml;59280;0.69870591163635;0.71;0.70;0.00;8156
xml;expat_stream;test_ozon_childbooks.xml;0;0;300.20;298.39;1.16;57768
xml;expat_stream;test_ozon_complit.xml;6985960;110.29393696785;110.31;109.59;0.48;15028
xml;expat_stream;test_ozon_web.xml;752392;7.0392460823059;7.05;6.98;0.03;8880
xml;expat_struct;test_ozon_balls.xml;3045552;0.61738801002502;0.62;0.62;0.00;11424
xml;expat_struct;test_ozon_childbooks.xml;9;9;19.84;1.93;0.88;914472
xml;expat_struct;test_ozon_complit.xml;364372496;107.00542902946;107.23;106.57;0.29;428680
xml;expat_struct;test_ozon_web.xml;25701208;6.1474919319153;6.17;6.11;0.02;39048
xml;fdom_css;test_ozon_balls.xml;1492536;0.44212698936462;0.56;0.48;0.05;131396
xml;fdom_css;test_ozon_childbooks.xml;9;9;312.65;6.35;3.40;911872
xml;fdom_css;test_ozon_complit.xml;10113104;62.949009895325;63.31;62.02;0.90;405608
xml;fdom_css;test_ozon_web.xml;2145512;5.4913489818573;105.90;5.78;1.71;909992
xml;fdom_xpath;test_ozon_balls.xml;388496;0.42009282112122;0.58;0.49;0.03;129880
xml;fdom_xpath;test_ozon_childbooks.xml;9;9;312.70;6.50;3.51;911528
xml;fdom_xpath;test_ozon_complit.xml;10080864;64.374161958694;64.80;63.66;0.83;405444
xml;fdom_xpath;test_ozon_web.xml;1154432;5.5467879772186;100.73;5.65;1.69;914552
xml;fluentdom_css;test_ozon_balls.xml;894640;0.34099411964417;0.53;0.36;0.05;130724
xml;fluentdom_css;test_ozon_childbooks.xml;9;9;224.35;4.14;2.67;916372
xml;fluentdom_css;test_ozon_complit.xml;9451400;42.779950141907;43.12;41.87;0.95;405020
xml;fluentdom_css;test_ozon_web.xml;1464488;4.5408389568329;106.78;4.56;1.72;910256
xml;fluentdom_xpath;test_ozon_balls.xml;463080;0.2999529838562;0.37;0.28;0.00;10892
xml;fluentdom_xpath;test_ozon_childbooks.xml;9;9;312.98;4.04;2.37;915608
xml;fluentdom_xpath;test_ozon_complit.xml;9143616;43.20992898941;43.44;41.66;1.42;227504
xml;fluentdom_xpath;test_ozon_web.xml;1003280;2.6255838871002;2.65;2.62;0.00;24848
xml;phantomjs;test_ozon_balls.xml;54720;13.355899095535;13.36;10.08;1.44;26012
xml;phantomjs;test_ozon_childbooks.xml;9;9;312.97;0.00;0.00;7800
xml;phantomjs;test_ozon_complit.xml;9;9;313.07;136.91;0.34;362976
xml;phantomjs;test_ozon_web.xml;406392;245.26954483986;245.31;78.24;2.68;48192
xml;phpquery_css;test_ozon_balls.xml;1313864;1.5820419788361;1.92;0.60;0.02;131176
xml;phpquery_css;test_ozon_childbooks.xml;9;9;13.94;1.11;0.96;660068
xml;phpquery_css;test_ozon_complit.xml;9;9;323.85;99.68;0.59;662488
xml;phpquery_css;test_ozon_web.xml;9;9;285.36;8.62;0.84;664704
xml;querypath_css;test_ozon_balls.xml;1035712;5.8631200790405;6.00;4.53;0.01;12668
xml;querypath_css;test_ozon_childbooks.xml;9;9;334.57;1.02;0.61;651604
xml;querypath_css;test_ozon_complit.xml;9;9;313.03;215.68;0.21;358888
xml;querypath_css;test_ozon_web.xml;1978224;87.066478967667;87.16;55.05;0.04;35144
xml;regexp;test_ozon_balls.xml;729664;0.53442096710205;0.54;0.38;0.00;8772
xml;regexp;test_ozon_childbooks.xml;9;9;311.56;4.17;0.64;518248
