doctype;parser;file;max mem dif;parser s;real s;user s;sys s;maximum RSS
html;didom_css;test_google.html;566336;0.95673298835754;0.99;0.96;0.00;24968
html;didom_css;test_habrahabr_largearticle.html;2891608;12.12654709816;12.17;11.97;0.15;57868
html;didom_css;test_wikipedia.html;3561544;6.0317008495331;6.06;6.03;0.00;41256
html;didom_css;test_wordpress.html;362920;0.194669008255;0.21;0.20;0.00;24312
html;didom_xpath;test_google.html;565984;0.94198489189148;0.96;0.95;0.00;24756
html;didom_xpath;test_habrahabr_largearticle.html;2891256;12.195177078247;12.22;12.05;0.14;57720
html;didom_xpath;test_wikipedia.html;3561192;6.0966758728027;6.12;6.08;0.02;40904
html;didom_xpath;test_wordpress.html;362536;0.19519591331482;0.21;0.21;0.00;24144
html;dom;test_google.html;62216;1.0325949192047;1.05;1.03;0.00;25256
html;dom;test_habrahabr_largearticle.html;1750480;142.75446391106;142.78;142.52;0.04;54892
html;dom;test_wikipedia.html;2222144;99.791075944901;99.81;99.64;0.02;38428
html;dom;test_wordpress.html;55624;0.24125504493713;0.25;0.24;0.00;23788
html;dom_xpath;test_google.html;78976;0.97022700309753;0.98;0.98;0.00;25224
html;dom_xpath;test_habrahabr_largearticle.html;2199856;11.677609205246;11.70;11.62;0.04;54892
html;dom_xpath;test_wikipedia.html;2912720;5.7037899494171;5.72;5.62;0.08;40908
html;dom_xpath;test_wordpress.html;70416;0.20211887359619;0.22;0.20;0.00;23676
html;expat_struct;test_google.html;538496;5.9539091587067;5.97;5.18;0.17;23852
html;expat_struct;test_habrahabr_largearticle.html;2529760;52.038510084152;52.05;47.24;1.01;30296
html;expat_struct;test_wikipedia.html;26423424;24.74524307251;24.76;23.83;0.58;51244
html;expat_struct;test_wordpress.html;743144;1.2487540245056;1.26;0.92;0.04;23620
html;fdom_css;test_google.html;772440;0.98530006408691;1.04;0.98;0.04;107364
html;fdom_css;test_habrahabr_largearticle.html;9;9;32.18;10.15;1.34;909560
html;fdom_css;test_wikipedia.html;3550976;9.3254518508911;33.94;6.06;1.08;893868
html;fdom_css;test_wordpress.html;757304;0.19845199584961;0.36;0.23;0.02;63832
html;fdom_xpath;test_google.html;370000;0.96842288970947;1.02;1.00;0.01;107040
html;fdom_xpath;test_habrahabr_largearticle.html;9;9;29.62;10.24;1.23;903704
html;fdom_xpath;test_wikipedia.html;3173112;9.3918480873108;33.99;6.01;1.12;898444
html;fdom_xpath;test_wordpress.html;354864;0.19440603256226;0.36;0.22;0.02;63640
html;fluentdom_css;test_google.html;646936;1.0196740627289;1.07;0.99;0.04;107232
html;fluentdom_css;test_habrahabr_largearticle.html;9;9;36.16;10.06;1.37;906928
html;fluentdom_css;test_wikipedia.html;3545864;9.3685460090637;31.83;6.26;0.99;896076
html;fluentdom_css;test_wordpress.html;638240;0.2245819568634;0.37;0.23;0.03;63832
html;fluentdom_xpath;test_google.html;391376;0.96640706062317;0.99;0.97;0.00;25532
html;fluentdom_xpath;test_habrahabr_largearticle.html;2564880;12.207950115204;12.24;12.16;0.02;54920
html;fluentdom_xpath;test_wikipedia.html;3290304;5.8733320236206;5.89;5.80;0.06;40716
html;fluentdom_xpath;test_wordpress.html;382680;0.19101095199585;0.21;0.20;0.00;23852
html;ganon_css;test_google.html;7855512;68.36155295372;68.38;62.75;5.52;34052
html;ganon_css;test_habrahabr_largearticle.html;0;0;300.33;274.46;25.17;87688
html;ganon_css;test_wikipedia.html;0;0;300.11;269.45;30.18;62952
html;ganon_css;test_wordpress.html;5818704;7.3254480361938;7.35;7.31;0.01;29936
html;html5lib;test_google.html;1376264;5.690614938736;5.71;5.67;0.00;26724
html;html5lib;test_habrahabr_largearticle.html;6279208;296.12430500984;296.15;295.60;0.12;56348
html;html5lib;test_wikipedia.html;4549064;107.66391277313;107.68;107.44;0.08;42404
html;html5lib;test_wordpress.html;1011384;3.7032198905945;3.72;3.71;0.00;24164
html;nokogiri_css;test_google.html;304168;1.0106971263885;1.03;1.02;0.00;25304
html;nokogiri_css;test_habrahabr_largearticle.html;6240248;13.018899917603;13.05;12.99;0.02;59652
html;nokogiri_css;test_wikipedia.html;7112320;7.4014081954956;7.42;7.33;0.07;45536
html;nokogiri_css;test_wordpress.html;212264;0.20842695236206;0.22;0.22;0.00;24016
html;phantomjs;test_google.html;55624;17.554366111755;17.57;14.28;1.31;50980
html;phantomjs;test_habrahabr_largearticle.html;9;9;312.74;293.84;4.66;120372
html;phantomjs;test_wikipedia.html;3150528;95.28932595253;95.32;77.29;2.71;74880
html;phantomjs;test_wordpress.html;46872;46.042276859283;46.05;35.81;3.24;63000
html;phpquery_css;test_google.html;1174456;1.1784479618073;1.23;1.18;0.03;109260
html;phpquery_css;test_habrahabr_largearticle.html;9;9;310.92;106.98;2.70;893396
html;phpquery_css;test_wikipedia.html;9;9;313.35;211.26;2.83;895440
html;phpquery_css;test_wordpress.html;1174448;0.4397919178009;0.78;0.48;0.03;65588
html;querypath_css;test_google.html;769800;1.6830570697784;1.71;1.66;0.02;25000
html;querypath_css;test_habrahabr_largearticle.html;9;9;314.57;311.00;0.28;56868
html;querypath_css;test_wikipedia.html;9;9;311.82;309.25;0.27;40576
html;querypath_css;test_wordpress.html;760568;3.4607670307159;3.74;3.20;0.12;24008
html;regexp;test_google.html;143376;0.81034803390503;1.01;0.82;0.02;23384
html;regexp;test_habrahabr_largearticle.html;2991120;8.1082201004028;8.27;8.10;0.06;27716
html;regexp;test_wikipedia.html;4807040;9.2545459270477;9.45;9.26;0.06;27780
html;regexp;test_wordpress.html;108440;0.24495506286621;0.48;0.39;0.08;23184
html;shd_css;test_google.html;14406376;20.795068979263;21.00;20.37;0.38;40576
html;shd_css;test_habrahabr_largearticle.html;597248;0.042922973632812;0.20;0.13;0.06;25352
html;shd_css;test_wikipedia.html;9;9;312.23;309.14;0.52;89332
html;shd_css;test_wordpress.html;11956728;11.29824090004;11.54;11.30;0.18;34012
html;string;test_google.html;679632;2.439945936203;2.64;2.49;0.06;23628
html;string;test_habrahabr_largearticle.html;2817360;27.201997041702;27.40;27.10;0.04;27760
html;string;test_wikipedia.html;3118640;28.932924985886;29.09;28.20;0.59;27708
html;string;test_wordpress.html;71768;0.60744118690491;0.81;0.71;0.06;23352
html;symfony_css;test_google.html;1187320;15.223207950592;15.46;15.15;0.02;26932
html;symfony_css;test_habrahabr_largearticle.html;8564696;253.03753209114;253.44;248.53;2.90;63300
html;symfony_css;test_wikipedia.html;3698408;99.950881004333;100.24;98.29;1.01;43212
html;symfony_css;test_wordpress.html;577456;3.2212250232697;3.50;3.34;0.04;24328
html;symfony_xpath;test_google.html;905456;14.727962970734;14.96;14.75;0.04;24956
html;symfony_xpath;test_habrahabr_largearticle.html;8282832;206.47145104408;206.80;202.34;2.65;63140
html;symfony_xpath;test_wikipedia.html;3415176;63.436583042145;63.69;62.69;0.47;43292
html;symfony_xpath;test_wordpress.html;311952;2.1533811092377;2.34;2.29;0.01;23916
html;zend_css;test_google.html;225088;8.431214094162;8.62;8.35;0.11;25440
html;zend_css;test_habrahabr_largearticle.html;9;9;312.29;147.88;161.36;57400
html;zend_css;test_wikipedia.html;3301704;195.63806390762;195.92;184.93;9.26;41028
html;zend_css;test_wordpress.html;210464;2.2003660202026;2.40;2.32;0.04;24156
html;zend_xpath;test_google.html;200976;10.760329008102;10.96;10.58;0.24;25056
html;zend_xpath;test_habrahabr_largearticle.html;9;9;312.59;187.24;122.79;57208
